start	end	text
0	28000	Come on get it to show how to be the arasuous friend you still don't mean that a girl come to the world that is to old
28000	38000	Where everybody seems to call Come on get it to show how to be the arasuous friend you still don't mean that a girl come to the world that is to old
38000	46000	Where everybody seems to call We're rolling this whole to old we call world for some goal to pose your 50 cents a boom
46000	55000	So come to my home and show some of your love for my own the boys you're on my whole world you're able to hear how cruel this has been about here
55000	62000	Some boys will laugh it's unfair to rather help myself we're still young but the dust isn't close to come along
62000	70000	Come on get it to show how to be the arasuous friend you still don't mean that a girl come to the world that is to old
70000	84000	Where everybody seems to call Come on get it to show how to be the arasuous friend you still don't mean that a girl come to the world that is to old
84000	108000	Where everybody seems to call Come on get it to show how to be the arasuous friend you still don't mean that a girl come to the world that is to old
108000	112000	You're still dumbing at a girl come to the world that is to old
112000	115000	Where everybody seems to call
115000	118000	Come on get in and show how to beat it, I'd rise your spirit
118000	122000	You're still dumbing at a girl come to the world that is to old
122000	129000	Where everybody seems to call
